0,Número (compra) de Vacas (37 a 48 meses)
130,Vaca Acompanhada
1755,Preco da Vaca Acompanhada
0,UA/Cab - Valor Inicial - Mortalidade Nascido
2,Prêmio (carcaça) da novilha gorda (18 a 20 meses)
0,Prêmio (carcaça) da novilha gorda (21 a 28 meses)
0,Prêmio (carcaça) da novilha gorda (29 a 36 meses)
7,Prêmio (carcaça) do boi gordo (18 a 20 meses - dente de leite - DL)
5,Prêmio (carcaça) do boi gordo (21 a 28 meses - até dois dentes permanentes)
2,Prêmio (carcaça) do boi gordo (29 a 36 meses - até quatro dentes permanentes)
0,Prêmio (carcaça) do boi gordo (37 a 48 meses - adulto)
0.52,Rendimento de carcaça (kg/kg) - Peso inicial da novilha gorda (18 a 20 meses)
0.52,Rendimento de carcaça (kg/kg) - Peso inicial da novilha gorda (21 a 28 meses)
0.5,Rendimento de carcaça (kg/kg) - Peso inicial da novilha gorda (29 a 36 meses)
0.5,Rendimento de carcaça (kg/kg) - Peso inicial da vaca gorda - kg - Vaca (37 a 48 meses)
0.54,Rendimento de carcaça (kg/kg) - Peso inicial do boi gordo (18 a 20 meses - dente de leite - DL)
0.5,Rendimento de carcaça (kg/kg) - Peso inicial Garrote (18 meses)
0.5,Rendimento de carcaça (kg/kg) - Peso inicial do boi magro (12 a 13 arrobas)
0.54,Rendimento de carcaça (kg/kg) - Peso inicial do boi gordo (21 a 28 meses - até dois dentes permanentes)
0.53,Rendimento de carcaça (kg/kg) - Peso inicial do boi gordo (29 a 36 meses - até quatro dentes permanentes)
0.53,Rendimento de carcaça (kg/kg) - Peso inicial do boi gordo (37 a 48 meses - adulto)
0.50,Rendimento de carcaça (kg/kg) - Peso inicial do gordo toruno (acima de 60 meses)
11.16,Preço R$ kgf peso vivo Desmama F1
11.3,Preço R$ kgf peso vivo Bezerra F2
266,Preço R$ arroba Novilha F3
273.9,Preço R$ arroba Novilha F4
273.9,Preço R$ arroba Novilha F5
246.5,Preço R$ arroba Vaca F6
13.63,Preço R$ kgf peso vivo Desmama M1
12.22,Preço R$ kgf peso vivo Bezerro M2
266,Preço R$ arroba Boi gordo M3
321.1,Preço R$ arroba Garrote M3g
301.5,Preço R$ arroba Boi magro M3bm
266,Preço R$ arroba Boi gordo M4
266,Preço R$ arroba Boi gordo M5
266,Preço R$ arroba Boi gordo M6
215.1,Preço R$ arroba Boi gordo M6bgt
160,Peso inicial da bezerra - Desmama (7 a 8 meses)
180,Peso inicial da bezerra - (12 meses)
290,Peso inicial da novilha gorda (18 a 20 meses)
330,Peso inicial da novilha gorda (21 a 28 meses)
400,Peso inicial da novilha gorda (29 a 36 meses)
450,Peso inicial da vaca gorda - kg - Vaca (37 a 48 meses)
250,Peso inicial da bezerro - Desmama (7 a 8 meses)
225,Peso inicial da bezerro - (12 meses)
380,Peso inicial do boi gordo (18 a 20 meses - dente de leite - DL)
285,Peso inicial do Garrote (18 meses)
370,Peso inicial do boi magro (12 a 13 arrobas)
400,Peso inicial do boi gordo (21 a 28 meses - até dois dentes permanentes)
440,Peso inicial do boi gordo (29 a 36 meses - até quatro dentes permanentes)
600,Peso inicial do boi gordo (37 a 48 meses - adulto)
750,Peso inicial do boi gordo toruno (acima de 60 meses)
800,Peso inicial do touro
200,Peso comercial (aquisição/reposição) - bezerro - Desmama
290,Peso comercial (aquisição/reposição) - bezerro
175,Peso comercial (aquisição/reposição) - bezerra - Desmama
0,Peso comercial (aquisição/reposição) - bezerra
235,Peso comercial (aquisição/reposição) - novilha gorda (18 a 20 meses)
260,Peso comercial (aquisição/reposição) - novilha gorda (21 a 28 meses)
290,Peso comercial (aquisição/reposição) - novilha gorda (29 a 36 meses)
0,Peso comercial (aquisição/reposição) - Garrote
380,Peso comercial (aquisição/reposição) - touro
357,Peso comercial (aquisição/reposição) - Vaca (37 a 48 meses)
3.91,Preço R$ kgf peso vivo Novilha F3
4,Preço R$ kgf peso vivo Novilha F4
4.2,Preço R$ kgf peso vivo Novilha F5
0,Preço R$ kgf peso vivo Garrote M3g
13.15,Preço R$ kgf peso vivo Touro M6t
3.9,Preço R$ kgf peso vivo Vaca F6
0,Aquisição - bezerra - Desmama (7 a 8 meses)
0,Aquisição - bezerra - (12 meses)
0,Aquisição - novilha gorda (18 a 20 meses)
0,Aquisição - novilha gorda (21 a 28 meses)
0,Aquisição - novilha gorda (29 a 36 meses)
0,Aquisição - Peso inicial da bezerro - Desmama (7 a 8 meses)
0,Aquisição - Peso inicial da bezerro - (12 meses)
0,Aquisição - Peso inicial do boi gordo (18 a 20 meses - dente de leite - DL)
0,Aquisição - Peso inicial do Garrote (18 meses)
0,Aquisição - Peso inicial do boi magro (12 a 13 arrobas)
0,Aquisição - boi gordo (21 a 28 meses - até dois dentes permanentes)
0,Aquisição - boi gordo (29 a 36 meses - até quatro dentes permanentes)
0,Aquisição - boi gordo (37 a 48 meses - adulto)
0,Aquisição - boi gordo toruno (acima de 60 meses)
20,Aquisição - touro
0.012,Mortalidade até a desmama
0.01,Mortalidade até 12 meses
0.0065,Mortalidade até 18-20 meses
0.01,Mortalidade até  21-28 meses
0.005,Mortalidade até 29-36 meses
0.005,Mortalidade até 37-48 meses
0.4,Pressão de seleção - Bezerra desmama (7 a 8 meses)
0.2,Pressão de seleção - Bezerra (12 meses)
0.4,Pressão de seleção - novilha gorda (18 a 20 meses)
0.9,Pressão de seleção - novilha gorda (21 a 28 meses)
0.8,Pressão de seleção - novilha gorda (29 a 36 meses)
0.5,Pressão de seleção - vaca gorda - kg - Vaca (37 a 48 meses)
0.4,Pressão de seleção - Bezerro desmama (7 a 8 meses)
0.2,Pressão de seleção - Bezerro (12 meses)
0.4,Pressão de seleção - Boi gordo (18 a 20 meses) - DL
0.2,Pressão de seleção - Garrote (18 meses)
0.2,Pressão de seleção - Boi magro (12 a 13 arrobas)
0.6,Pressão de seleção - Boi gordo (21 a 28 meses) até 2 dentes permanentes
0.5,Pressão de seleção - Boi gordo (29 a 36 meses) até 4 dentes permanentes
1,Pressão de seleção - Boi gordo (37 a 48 meses)
1,Pressão de seleção - Boi gordo toruno (acima de 60 meses)
0.47,UA/Cab - bezerra - Desmama (7 a 8 meses)
0.56,UA/Cab - bezerra - (12 meses)
0.64,UA/Cab - novilha gorda (18 a 20 meses)
0.73,UA/Cab - novilha gorda (21 a 28 meses)
0.89,UA/Cab - novilha gorda (29 a 36 meses)
1,UA/Cab - vaca gorda - kg - Vaca (37 a 48 meses)
0.56,UA/Cab - Bezerro desmama (7 a 8 meses)
0.64,UA/Cab - Bezerro (12 meses)
0.84,UA/Cab - Boi gordo (18 a 20 meses) - DL
0.74,UA/Cab - Garrote (18 meses)
0.82,UA/Cab - Boi magro (12 a 13 arrobas)
0.89,UA/Cab - Boi gordo (21 a 28 meses) até 2 dentes permanentes 
0.98,UA/Cab - Boi gordo (29 a 36 meses) até 4 dentes permanentes 
1.33,UA/Cab - Boi gordo (37 a 48 meses)
1.67,UA/Cab - Boi gordo toruno (acima de 60 meses)
1.78,UA/Cab - touro
25,Relação entre touro e vaca
0.2,Reposição de vacas
0.2,Reposição de touros
0.90,Taxa de natalidade Ani
0.82,Taxa de natalidade Mni
0.70,Taxa de natalidade Bni
0.015,Taxa de Funrural
20000,Manutenção e instalações de benfeitorias (RS/ano)
20400,Manutenção de máquinas e equipamentos (RS/ano)
0.10,Taxa de arrendamento Ani
0.10,Taxa de arrendamento Mni
0.10,Taxa de arrendamento Bni
175,Peso de venda da bezerra - Desmama (7 a 8 meses)
195,Peso de venda da bezerra - (12 meses)
450,Peso de venda da novilha gorda (18 a 20 meses)
460,Peso de venda da novilha gorda (21 a 28 meses)
460,Peso de venda da novilha gorda (29 a 36 meses)
440,Peso de venda da vaca gorda - kg - Vaca (37 a 48 meses)
195,Peso de venda da bezerro - Desmama (7 a 8 meses)
240,Peso de venda da bezerro - (12 meses)
480,Peso de venda do boi gordo (18 a 20 meses - dente de leite - DL)
300,Peso de venda do Garrote (18 meses)
380,Peso de venda do boi magro (12 a 13 arrobas)
525,Peso de venda do boi gordo (21 a 28 meses - até dois dentes permanentes)
570,Peso de venda do boi gordo (29 a 36 meses - até quatro dentes permanentes)
570,Peso de venda do boi gordo (37 a 48 meses - adulto)
780,Peso de venda do boi gordo toruno (acima de 60 meses)
1,VacAftosa_F(6)
1,VacAftosa_F(5)
2,VacAftosa_F(4)
2,VacAftosa_F(3)
2,VacAftosa_F(2)
2,VacAftosa_F(1)
2,VacAftosa_M(1)
2,VacAftosa_M(2)
2,VacAftosa_Mg(3)
2,VacAftosa_Mbm(3)
2,VacAftosa_M(3)
1,VacAftosa_M(4)
1,VacAftosa_M(5)
1,VacAftosa_M(6)
1,VacAftosa_Mbgt(6)
1,VacAftosa_Mt(6)
1.3,PrecoVacAftosa
1,VacCarb_F(6)
1,VacCarb_F(5)
